minute,arrival_HBW,arrival_HBE,arrival_HBA,arrival_HBS,arrival_HBR,arrival_HBO,arrival_NHBW,arrival_NHBO,duration_HBW,duration_HBE,duration_HBA,duration_HBS,duration_HBR,duration_HBO
887,0.000302209884049962,5.86634640177813e-05,0.00125835921148059,0.00129771955885372,0.00107075085835711,0.00124849047121993,0.00138778854520175,0.0017391804279176,5.37021624185975e-05,6.32204444809137e-06,3.72785772980922e-06,9.87982531878347e-07,3.15607315215758e-05,4.30791565846274e-06
888,0.000300414343672705,6.00507005292109e-05,0.00126203941723919,0.00129166268939747,0.00106705406975962,0.00124519645569406,0.00138789005245346,0.00173990745012974,5.29430427926728e-05,6.21833600999825e-06,3.70702043523344e-06,9.79125533872828e-07,3.14338314972351e-05,4.17543090119695e-06
889,0.00029864041589691,6.14647679676102e-05,0.00126563969851809,0.00128554346657037,0.00106338001394793,0.00124185634973464,0.0013880118202056,0.00174059508771433,5.21957495770177e-05,6.09859389429067e-06,3.67669103165336e-06,9.68083222553665e-07,3.13040425318862e-05,4.04154026611711e-06
890,0.000296887414987066,6.28300448396643e-05,0.00126915866093243,0.00127936279978733,0.00105972966507051,0.00123847079565189,0.00138815417862543,0.00174124142247075,5.14599687955002e-05,5.96382284948478e-06,3.6381016499777e-06,9.54666395823819e-07,3.11714715031581e-05,3.90689802283168e-06
891,0.000295150556338253,6.40495134822999e-05,0.00127259495145236,0.00127312625335661,0.00105610399792052,0.00123503801661522,0.0013883176768034,0.00174184344841155,5.07353975743191e-05,5.81603158624187e-06,3.59107436167339e-06,9.38956610697944e-07,3.10363927556977e-05,3.771984379386e-06
892,0.000293428075215999,6.50781817570877e-05,0.00127594725939934,0.00126683580960871,0.00105250451412799,0.00123156075266643,0.00138850203927374,0.00174239772345045,5.00229835585332e-05,5.65509726448228e-06,3.53691717408377e-06,9.2121795358825e-07,3.0898898198057e-05,3.63737924411955e-06
893,0.000291718972663326,6.58639329853201e-05,0.00127921431740604,0.00126049348636318,0.00104893272444138,0.00122804021703877,0.00138870743109724,0.00174290475851439,4.93214504457429e-05,5.48190764497356e-06,3.47738500722094e-06,9.01414234373507e-07,3.07590524245576e-05,3.50361961907084e-06
894,0.000290022642219503,6.63197962181423e-05,0.0012823949023388,0.00125410133403887,0.00104538864508241,0.00122447715645264,0.00138893400143281,0.00174336270499697,4.86302182958408e-05,5.29880868031729e-06,3.41336776266573e-06,8.79554583315604e-07,3.06167234497571e-05,3.37116567680369e-06
895,0.000288336606593299,6.64654832212516e-05,0.00128548783618141,0.00124766143276312,0.00104187324870456,0.00122087233988886,0.00138918188358343,0.00174376973558973,4.79490307784611e-05,5.10640296693918e-06,3.34674263541075e-06,8.56000288427745e-07,3.04723539678117e-05,3.24053968509693e-06
896,0.000286660168949703,6.62596858951817e-05,0.00128849198687934,0.00124117588948454,0.00103838750628996,0.00121722655752289,0.00138945119504237,0.00174412404606125,4.72776418757473e-05,4.90556461859971e-06,3.27917460094699e-06,8.30838000921135e-07,3.03260797847675e-05,3.11254849511858e-06
